"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-02-24";"85";"19963 (15777, 24150)";"  197 (  106,   289)";" 95927 ( 73691, 118162)";"   938 (   476,   1400)";"10735 (5426, 16043)";" 7828 (4178, 11479)";"1648 (927, 2369)";"2369 (1439, 3299)";"4264 (2590,  5939)";"40%"
"2015-02-23";"84";"19766 (15672, 23860)";"  196 (  106,   286)";" 94989 ( 73215, 116762)";"   931 (   475,   1386)";"10652 (5419, 15884)";" 7768 (4172, 11364)";"1635 (925, 2344)";"2351 (1434, 3267)";"4231 (2582,  5881)";"40%"
"2015-02-22";"83";"19570 (15566, 23574)";"  194 (  105,   283)";" 94058 ( 72739, 115377)";"   924 (   474,   1373)";"10569 (5412, 15726)";" 7708 (4166, 11250)";"1622 (924, 2321)";"2333 (1430, 3235)";"4199 (2574,  5823)";"40%"
"2015-02-21";"82";"19376 (15460, 23291)";"  193 (  105,   281)";" 93134 ( 72264, 114005)";"   916 (   474,   1359)";"10487 (5405, 15570)";" 7648 (4159, 11137)";"1610 (922, 2297)";"2314 (1426, 3203)";"4166 (2566,  5766)";"40%"
"2015-02-20";"81";"19183 (15355, 23011)";"  191 (  105,   278)";" 92218 ( 71790, 112646)";"   909 (   473,   1345)";"10406 (5398, 15414)";" 7589 (4153, 11024)";"1597 (921, 2274)";"2297 (1421, 3172)";"4134 (2558,  5709)";"40%"
"2015-02-19";"80";"18991 (15250, 22733)";"  190 (  105,   275)";" 91309 ( 71316, 111301)";"   902 (   473,   1332)";"10326 (5391, 15260)";" 7530 (4147, 10913)";"1585 (919, 2250)";"2279 (1417, 3141)";"4102 (2550,  5653)";"40%"
"2015-02-18";"79";"18802 (15145, 22458)";"  188 (  105,   272)";" 90406 ( 70843, 109970)";"   895 (   472,   1319)";"10246 (5384, 15108)";" 7472 (4141, 10803)";"1573 (918, 2227)";"2261 (1412, 3110)";"4070 (2542,  5598)";"40%"
"2015-02-17";"78";"18613 (15040, 22186)";"  187 (  105,   269)";" 89511 ( 70370, 108652)";"   888 (   471,   1305)";"10167 (5376, 14957)";" 7414 (4134, 10694)";"1560 (916, 2205)";"2244 (1408, 3079)";"4038 (2534,  5543)";"40%"
"2015-02-16";"77";"18426 (14935, 21917)";"  186 (  104,   267)";" 88623 ( 69898, 107347)";"   881 (   471,   1292)";"10088 (5369, 14807)";" 7356 (4128, 10585)";"1548 (915, 2182)";"2226 (1404, 3049)";"4007 (2526,  5488)";"40%"
"2015-02-15";"76";"18241 (14831, 21651)";"  184 (  104,   264)";" 87741 ( 69427, 106056)";"   875 (   470,   1279)";"10010 (5361, 14658)";" 7299 (4121, 10478)";"1536 (913, 2160)";"2209 (1399, 3019)";"3976 (2519,  5434)";"40%"
"2015-02-14";"75";"18057 (14726, 21387)";"  183 (  104,   261)";" 86867 ( 68957, 104777)";"   868 (   469,   1266)";" 9932 (5354, 14511)";" 7243 (4114, 10371)";"1524 (911, 2138)";"2192 (1395, 2989)";"3945 (2511,  5380)";"40%"
"2015-02-13";"74";"17874 (14622, 21126)";"  181 (  104,   259)";" 85999 ( 68487, 103511)";"   861 (   469,   1254)";" 9855 (5346, 14365)";" 7187 (4108, 10266)";"1513 (910, 2116)";"2175 (1390, 2959)";"3915 (2503,  5327)";"40%"
"2015-02-12";"73";"17693 (14518, 20867)";"  180 (  104,   256)";" 85138 ( 68017, 102258)";"   854 (   468,   1241)";" 9779 (5338, 14220)";" 7131 (4101, 10161)";"1501 (908, 2094)";"2158 (1386, 2930)";"3884 (2495,  5274)";"40%"
"2015-02-11";"72";"17513 (14414, 20612)";"  178 (  104,   253)";" 84283 ( 67549, 101017)";"   848 (   467,   1229)";" 9703 (5330, 14077)";" 7076 (4094, 10058)";"1489 (906, 2072)";"2141 (1382, 2901)";"3854 (2487,  5222)";"40%"
