"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-02-22";"102";" 75807 ( -4468, 156083)";"1800 ( -679,  4278)";" 408744 ( -47064,  864553)";" 9582 (-3923, 23087)";"110404 (-45359, 266166)";" 71879 (-27274, 171031)";"13433 ( -4558, 31424)";"21328 (-3865,  46521)";" 38390 ( -6957,  83737)";"40%"
"2015-02-21";"101";" 74008 ( -3792, 151808)";"1760 ( -656,  4176)";" 399162 ( -43153,  841478)";" 9378 (-3811, 22568)";"108068 (-44085, 260221)";" 70294 (-26369, 166958)";"13128 ( -4382, 30637)";"20855 (-3704,  45415)";" 37540 ( -6666,  81746)";"40%"
"2015-02-20";"100";" 72248 ( -3139, 147634)";"1721 ( -634,  4075)";" 389784 ( -39354,  818922)";" 9178 (-3700, 22056)";"105766 (-42815, 254347)";" 68737 (-25474, 162948)";"12828 ( -4209, 29864)";"20391 (-3544,  44326)";" 36704 ( -6379,  79787)";"40%"
"2015-02-19";"99";" 70527 ( -2508, 143562)";"1682 ( -612,  3976)";" 380606 ( -35666,  796878)";" 8981 (-3589, 21551)";"103499 (-41550, 248547)";" 67206 (-24591, 159004)";"12534 ( -4039, 29106)";"19935 (-3385,  43255)";" 35883 ( -6094,  77859)";"40%"
"2015-02-18";"98";" 68845 ( -1899, 139589)";"1645 ( -590,  3879)";" 371625 ( -32090,  775340)";" 8786 (-3480, 21052)";"101266 (-40292, 242824)";" 65702 (-23719, 155124)";"12245 ( -3873, 28363)";"19487 (-3229,  42202)";" 35076 ( -5812,  75964)";"40%"
"2015-02-17";"97";" 67200 ( -1313, 135713)";"1608 ( -568,  3783)";" 362839 ( -28623,  754301)";" 8595 (-3370, 20560)";" 99068 (-39043, 237179)";" 64225 (-22860, 151310)";"11962 ( -3710, 27634)";"19047 (-3074,  41168)";" 34284 ( -5534,  74102)";"40%"
"2015-02-16";"96";" 65592 (  -748, 131933)";"1571 ( -547,  3689)";" 354244 ( -25266,  733754)";" 8407 (-3262, 20076)";" 96905 (-37804, 231614)";" 62774 (-22015, 147563)";"11685 ( -3550, 26920)";"18615 (-2922,  40151)";" 33506 ( -5260,  72272)";"40%"
"2015-02-15";"95";" 64021 (  -204, 128247)";"1535 ( -526,  3597)";" 345837 ( -22018,  713692)";" 8222 (-3155, 19599)";" 94777 (-36577, 226130)";" 61350 (-21183, 143882)";"11413 ( -3394, 26220)";"18191 (-2772,  39153)";" 32743 ( -4989,  70476)";"40%"
"2015-02-14";"94";" 62486 (   319, 124653)";"1500 ( -505,  3506)";" 337615 ( -18876,  694107)";" 8040 (-3049, 19129)";" 92684 (-35362, 220730)";" 59951 (-20365, 140268)";"11146 ( -3242, 25534)";"17774 (-2624,  38173)";" 31994 ( -4724,  68712)";"40%"
"2015-02-13";"93";" 60985 (   821, 121150)";"1466 ( -485,  3417)";" 329576 ( -15841,  674993)";" 7861 (-2945, 18666)";" 90627 (-34162, 215415)";" 58580 (-19562, 136721)";"10885 ( -3093, 24863)";"17366 (-2479,  37212)";" 31259 ( -4463,  66981)";"40%"
"2015-02-12";"92";" 59519 (  1303, 117736)";"1432 ( -466,  3330)";" 321715 ( -12911,  656341)";" 7685 (-2841, 18211)";" 88605 (-32976, 210186)";" 57234 (-18775, 133242)";"10630 ( -2947, 24206)";"16966 (-2337,  36269)";" 30538 ( -4207,  65284)";"40%"
"2015-02-11";"91";" 58087 (  1765, 114409)";"1399 ( -446,  3244)";" 314030 ( -10084,  638144)";" 7512 (-2739, 17764)";" 86618 (-31807, 205043)";" 55914 (-18002, 129830)";"10379 ( -2805, 23564)";"16573 (-2197,  35344)";" 29832 ( -3955,  63619)";"40%"
