"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-10-08";"-14";" 2924 ( 2843,  3004)";"72";" 17427 ( 16716,  18138)";"535";" 6195 ( 5338,  7051)";" 3865 ( 3456,  4274)";" 538 ( 498,  578)";"1101 ( 998,  1203)";" 1981 ( 1796,  2166)";"33%"
"2014-10-07";"-15";" 2852 ( 2774,  2930)";"70";" 16893 ( 16238,  17547)";"517";" 5996 ( 5195,  6797)";" 3736 ( 3357,  4115)";" 523 ( 486,  560)";"1065 ( 970,  1160)";" 1917 ( 1746,  2088)";"33%"
"2014-10-06";"-16";" 2782 ( 2706,  2858)";"68";" 16375 ( 15771,  16980)";"501";" 5804 ( 5054,  6553)";" 3613 ( 3262,  3963)";" 509 ( 475,  543)";"1030 ( 942,  1118)";" 1855 ( 1696,  2013)";"33%"
"2014-10-05";"-17";" 2715 ( 2640,  2789)";"66";" 15874 ( 15314,  16435)";"485";" 5617 ( 4918,  6317)";" 3493 ( 3169,  3816)";" 495 ( 463,  526)";" 997 ( 915,  1078)";" 1794 ( 1648,  1941)";"33%"
"2014-10-04";"-18";" 2648 ( 2575,  2722)";"64";" 15390 ( 14867,  15912)";"469";" 5436 ( 4784,  6089)";" 3376 ( 3078,  3675)";" 481 ( 452,  510)";" 964 ( 889,  1039)";" 1736 ( 1601,  1871)";"33%"
"2014-10-03";"-19";" 2584 ( 2511,  2657)";"63";" 14920 ( 14431,  15410)";"454";" 5261 ( 4654,  5869)";" 3264 ( 2989,  3539)";" 468 ( 441,  495)";" 933 ( 864,  1002)";" 1679 ( 1555,  1804)";"34%"
"2014-10-02";"-20";" 2522 ( 2449,  2594)";"61";" 14466 ( 14004,  14929)";"439";" 5091 ( 4526,  5656)";" 3155 ( 2902,  3408)";" 455 ( 430,  480)";" 902 ( 839,   966)";" 1624 ( 1510,  1739)";"34%"
"2014-10-01";"-21";" 2461 ( 2389,  2533)";"59";" 14027 ( 13587,  14467)";"425";" 4927 ( 4402,  5452)";" 3050 ( 2818,  3282)";" 442 ( 419,  465)";" 873 ( 815,   931)";" 1571 ( 1466,  1676)";"34%"
"2014-09-30";"-22";" 2401 ( 2329,  2474)";"58";" 13602 ( 13179,  14025)";"411";" 4768 ( 4281,  5254)";" 2948 ( 2735,  3161)";" 430 ( 408,  452)";" 844 ( 791,   898)";" 1520 ( 1424,  1616)";"34%"
"2014-09-29";"-23";" 2344 ( 2272,  2416)";"56";" 13191 ( 12781,  13600)";"398";" 4613 ( 4163,  5064)";" 2849 ( 2654,  3045)";" 418 ( 398,  438)";" 817 ( 768,   866)";" 1470 ( 1382,  1559)";"34%"
"2014-09-28";"-24";" 2288 ( 2215,  2360)";"55";" 12792 ( 12393,  13192)";"385";" 4464 ( 4047,  4880)";" 2754 ( 2575,  2933)";" 406 ( 387,  426)";" 790 ( 745,   835)";" 1422 ( 1341,  1503)";"34%"
"2014-09-27";"-25";" 2233 ( 2161,  2305)";"53";" 12407 ( 12015,  12800)";"373";" 4319 ( 3935,  4703)";" 2662 ( 2498,  2826)";" 395 ( 376,  414)";" 764 ( 723,   805)";" 1376 ( 1301,  1450)";"35%"
"2014-09-26";"-26";" 2180 ( 2107,  2252)";"52";" 12035 ( 11647,  12422)";"361";" 4178 ( 3825,  4532)";" 2572 ( 2422,  2723)";" 384 ( 366,  402)";" 739 ( 701,   777)";" 1330 ( 1262,  1399)";"35%"
"2014-09-25";"-27";" 2128 ( 2056,  2201)";"50";" 11674 ( 11289,  12059)";"349";" 4043 ( 3717,  4368)";" 2486 ( 2348,  2624)";" 373 ( 355,  391)";" 715 ( 680,   750)";" 1287 ( 1224,  1349)";"35%"
"2014-09-24";"-28";" 2078 ( 2005,  2150)";"49";" 11325 ( 10942,  11708)";"337";" 3911 ( 3612,  4210)";" 2403 ( 2275,  2530)";" 363 ( 345,  381)";" 691 ( 659,   724)";" 1245 ( 1187,  1302)";"35%"
"2014-09-23";"-29";" 2029 ( 1956,  2101)";"48";" 10988 ( 10605,  11370)";"326";" 3783 ( 3509,  4058)";" 2322 ( 2203,  2440)";" 353 ( 335,  371)";" 669 ( 639,   699)";" 1204 ( 1150,  1258)";"35%"
"2014-09-22";"-30";" 1981 ( 1909,  2053)";"46";" 10661 ( 10279,  11044)";"316";" 3660 ( 3408,  3912)";" 2244 ( 2133,  2354)";" 343 ( 325,  361)";" 647 ( 619,   675)";" 1164 ( 1113,  1215)";"35%"
"2014-09-21";"-31";" 1935 ( 1863,  2007)";"45";" 10346 (  9963,  10728)";"305";" 3541 ( 3310,  3771)";" 2168 ( 2063,  2273)";" 334 ( 315,  352)";" 625 ( 599,   652)";" 1126 ( 1078,  1174)";"36%"
"2014-09-20";"-32";" 1890 ( 1818,  1961)";"44";" 10040 (  9658,  10422)";"295";" 3425 ( 3213,  3636)";" 2095 ( 1995,  2195)";" 324 ( 306,  343)";" 605 ( 579,   630)";" 1089 ( 1043,  1134)";"36%"
"2014-09-19";"-33";" 1846 ( 1775,  1917)";"43";"  9745 (  9363,  10127)";"286";" 3313 ( 3119,  3507)";" 2024 ( 1928,  2121)";" 315 ( 296,  334)";" 585 ( 560,   610)";" 1053 ( 1008,  1097)";"36%"
"2014-09-18";"-34";" 1803 ( 1733,  1873)";"42";"  9459 (  9077,   9841)";"276";" 3204 ( 3026,  3383)";" 1956 ( 1861,  2050)";" 307 ( 287,  326)";" 566 ( 541,   590)";" 1018 (  975,  1062)";"36%"
"2014-09-17";"-35";" 1761 ( 1692,  1831)";"40";"  9182 (  8802,   9563)";"267";" 3099 ( 2934,  3264)";" 1890 ( 1796,  1983)";" 298 ( 278,  318)";" 547 ( 523,   571)";"  985 (  942,  1028)";"36%"
"2014-09-16";"-36";" 1721 ( 1652,  1790)";"39";"  8915 (  8536,   9294)";"259";" 2998 ( 2844,  3151)";" 1826 ( 1732,  1919)";" 290 ( 270,  310)";" 529 ( 505,   553)";"  952 (  909,   995)";"36%"
"2014-09-15";"-37";" 1682 ( 1614,  1750)";"38";"  8656 (  8279,   9034)";"250";" 2899 ( 2756,  3042)";" 1764 ( 1670,  1858)";" 282 ( 261,  303)";" 512 ( 487,   536)";"  921 (  877,   964)";"37%"
"2014-09-14";"-38";" 1644 ( 1577,  1710)";"37";"  8406 (  8032,   8781)";"242";" 2804 ( 2668,  2939)";" 1704 ( 1609,  1800)";" 274 ( 253,  296)";" 495 ( 470,   519)";"  890 (  846,   934)";"37%"
"2014-09-13";"-39";" 1606 ( 1540,  1672)";"36";"  8164 (  7793,   8536)";"234";" 2711 ( 2582,  2841)";" 1647 ( 1550,  1743)";" 267 ( 245,  288)";" 478 ( 454,   503)";"  861 (  816,   906)";"37%"
"2014-09-12";"-40";" 1570 ( 1505,  1635)";"35";"  7931 (  7563,   8298)";"226";" 2622 ( 2497,  2747)";" 1591 ( 1492,  1690)";" 260 ( 238,  282)";" 463 ( 437,   488)";"  833 (  787,   878)";"37%"
"2014-09-11";"-41";" 1535 ( 1471,  1599)";"34";"  7704 (  7341,   8067)";"219";" 2536 ( 2413,  2658)";" 1537 ( 1436,  1638)";" 253 ( 230,  275)";" 447 ( 422,   473)";"  805 (  759,   852)";"37%"
"2014-09-10";"-42";" 1501 ( 1438,  1563)";"33";"  7486 (  7128,   7843)";"212";" 2452 ( 2330,  2574)";" 1485 ( 1382,  1588)";" 246 ( 224,  268)";" 433 ( 406,   459)";"  779 (  731,   826)";"37%"
"2014-09-09";"-43";" 1467 ( 1406,  1529)";"32";"  7274 (  6922,   7626)";"205";" 2371 ( 2249,  2493)";" 1434 ( 1329,  1540)";" 239 ( 217,  262)";" 418 ( 391,   445)";"  753 (  705,   802)";"37%"
"2014-09-08";"-44";" 1435 ( 1375,  1495)";"31";"  7070 (  6724,   7416)";"198";" 2292 ( 2169,  2415)";" 1386 ( 1278,  1493)";" 233 ( 210,  256)";" 405 ( 377,   432)";"  728 (  679,   778)";"38%"
"2014-09-07";"-45";" 1404 ( 1345,  1462)";"31";"  6872 (  6533,   7211)";"191";" 2216 ( 2091,  2341)";" 1339 ( 1229,  1448)";" 227 ( 204,  250)";" 391 ( 363,   419)";"  705 (  654,   755)";"38%"
